epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,986.167,0.56589,1.44085,1.11571,0.82746,0.59378,0.66651,0.45861,1.13532,2.52335,1.71294,0.000600384,0.000600384,0.000600384
43,1009.18,0.74412,1.51296,1.25426,0.94574,0.54293,0.71946,0.50491,1.04567,2.26995,1.6512,0.000580174,0.000580174,0.000580174
44,1031.63,0.61716,1.36788,1.11308,0.87336,0.57237,0.68477,0.49816,0.98034,2.29553,1.59933,0.000559964,0.000559964,0.000559964
45,1056.02,0.58982,1.292,1.11292,0.70765,0.6578,0.6945,0.48204,0.9733,2.36732,1.56647,0.000539754,0.000539754,0.000539754
46,1082.96,0.57174,1.3198,1.11689,0.79976,0.65784,0.6945,0.52706,0.95333,2.16048,1.52515,0.000519544,0.000519544,0.000519544
47,1105.92,0.63881,1.40447,1.1768,0.77769,0.56667,0.67085,0.57367,0.85947,2.04616,1.51808,0.000499333,0.000499333,0.000499333
48,1128.69,0.62302,1.35114,1.18989,0.80006,0.5643,0.67685,0.54536,0.85397,2.05887,1.52345,0.000479123,0.000479123,0.000479123
49,1151.08,0.60737,1.41655,1.14355,0.82665,0.76885,0.73974,0.55689,0.86514,2.02033,1.52896,0.000458913,0.000458913,0.000458913
50,1173.71,0.61997,1.30708,1.1242,0.87554,0.7549,0.73974,0.56853,0.89521,2.00139,1.54428,0.000438703,0.000438703,0.000438703
51,1196.45,0.65349,1.39166,1.2212,0.80219,0.74256,0.79529,0.54651,0.89577,2.00826,1.56033,0.000418493,0.000418493,0.000418493
52,1218.4,0.62209,1.31733,1.16111,0.76631,0.77603,0.7953,0.55219,0.88567,2.01482,1.57825,0.000398283,0.000398283,0.000398283
53,1240.74,0.58687,1.3214,1.15274,0.76899,0.7507,0.7953,0.58723,0.87597,2.00235,1.58105,0.000378073,0.000378073,0.000378073
54,1263.4,0.5971,1.29889,1.1167,0.96495,0.61342,0.79532,0.57525,0.89574,2.07423,1.61734,0.000357862,0.000357862,0.000357862
55,1285.82,0.57651,1.26768,1.13489,0.96576,0.5968,0.79532,0.55747,0.86453,1.99691,1.59907,0.000337652,0.000337652,0.000337652
56,1308.44,0.63282,1.24726,1.16518,0.97509,0.59922,0.79532,0.57039,0.86279,1.99458,1.55115,0.000317442,0.000317442,0.000317442
57,1333.53,0.56492,1.29781,1.10943,0.97646,0.60045,0.79532,0.57042,0.91277,2.03387,1.56221,0.000297232,0.000297232,0.000297232
58,1359.36,0.60446,1.30524,1.11969,0.97528,0.59179,0.79532,0.57337,0.88953,2.00532,1.55466,0.000277022,0.000277022,0.000277022
59,1386.53,0.57515,1.29736,1.15236,0.91994,0.71326,0.79532,0.59842,0.92607,1.99402,1.61229,0.000256812,0.000256812,0.000256812
60,1411.39,0.57717,1.20017,1.11343,0.86746,0.65839,0.76533,0.5998,0.89645,1.96091,1.57696,0.000236602,0.000236602,0.000236602
61,1434.94,0.5326,1.53999,1.24499,0.90293,0.73599,0.78202,0.60331,0.88253,1.92653,1.56478,0.000216391,0.000216391,0.000216391
62,1459.55,0.51995,1.55324,1.17426,0.93257,0.73333,0.78203,0.57301,0.90795,1.9953,1.63037,0.000196181,0.000196181,0.000196181
63,1483.71,0.46595,1.45208,1.19262,0.87304,0.73333,0.78202,0.59285,0.9326,2.11203,1.63737,0.000175971,0.000175971,0.000175971
64,1506.62,0.43857,1.43059,1.13376,0.8378,0.71532,0.76536,0.54105,1.03487,2.21912,1.7147,0.000155761,0.000155761,0.000155761
65,1530.84,0.47729,1.50857,1.13702,0.86605,0.70494,0.78201,0.60241,0.96005,2.15568,1.64172,0.000135551,0.000135551,0.000135551
66,1555.06,0.42676,1.43412,1.12193,0.97345,0.63828,0.782,0.58877,0.94643,2.18542,1.63699,0.000115341,0.000115341,0.000115341
67,1579.67,0.45928,1.4122,1.17191,0.97533,0.6236,0.782,0.58872,0.96092,2.23692,1.63114,9.51306e-05,9.51306e-05,9.51306e-05
68,1604.74,0.4555,1.42861,1.17663,0.97049,0.61938,0.77311,0.58533,0.94115,2.19386,1.5942,7.49204e-05,7.49204e-05,7.49204e-05
69,1629.46,0.44873,1.41109,1.12349,0.97721,0.61461,0.77311,0.58708,0.93352,2.18526,1.59803,5.47103e-05,5.47103e-05,5.47103e-05
70,1654.7,0.45026,1.41721,1.13424,0.95835,0.62864,0.79533,0.6123,0.90665,2.07967,1.55216,3.45001e-05,3.45001e-05,3.45001e-05
